HITId	tweet	sentiment	directness	annotator_sentiment	target	group	hate
4423	guy retarded please vote @url	offensive	indirect	anger_fear_shock_indifference_sadness	disability	other	True
405	@user alright alright spic.	offensive	direct	anger_confusion_sadness_indifference_fear	origin	hispanics	True
4646	@user @user thanks thought ching chong cheng	offensive	indirect	anger_fear_shock_indifference_disgust	origin	special_needs	True
5392	@user got gorgeous figure unfunny twat.	offensive	indirect	confusion_indifference	gender	women	True
1214	david warner right royal twat hughes family blaming anything freak accident @url	normal	indirect	indifference_disgust	gender	women	False
4151	added video @user playlist @url gohan calls buu retard (japanese)	offensive	indirect	sadness_disgust	other	other	True
1661	@user good thing lives california! need money illegal aliens. least 50% @url	offensive	indirect	confusion_fear_shock_indifference_disgust	origin	left_wing_people	True
4797	@user conveniently forget shithole countries  bad hombres on? man jekyl @url	hateful	indirect	indifference_disgust	origin	immigrants	True
5571	typical nigger	offensive	direct	anger_disgust	origin	african_descent	True
4760	@user ching chong ling long	offensive	indirect	indifference_disgust	origin	asians	True
2987	@user @user vlogs funniest omg dyke friend.. wss soo funny miss rjfjfhyf	offensive	indirect	anger_disgust	sexual_orientation	gay	True
3206	@user already said ok mongoloid	offensive	indirect	anger_confusion_fear_shock_disgust	origin	special_needs	True
1277	@user @user expect anything mongol scum? @url	hateful	direct	sadness_disgust	disability	special_needs	True
190	faggot people? self hatred much king? @url	offensive	indirect	anger_sadness	sexual_orientation	left_wing_people	True
5432	: [i honestly hate get angry people say chink ching chong cing cong whatever fuck @url	offensive	indirect	anger_indifference	other	other	True
5414	bout use cup mongoloid @url	offensive	indirect	anger_shock	origin	individual	True
3700	tory lanez garbage well take l faggot.	fearful_abusive_offensive_hateful_disrespectful	indirect	confusion_sadness_shock_indifference_disgust	sexual_orientation	individual	True
2454	@user slick rick leeds twat	offensive_normal	indirect	anger_disgust	other	women	True
4098	tf put jansen 8th ! retarded something. doc roberts stupidity strikes	fearful_hateful	direct	sadness_disgust	disability	special_needs	True
2556	ching chong. @url	normal	indirect	anger_confusion_sadness_indifference_disgust	origin	special_needs	False
1305	@user @user thought par.. twat waffle	offensive	indirect	confusion_sadness_shock_indifference_disgust	other	left_wing_people	True
1901	cousins looks 18 hes mid 30s security asked whats secret negro say sm @url	offensive	indirect	anger_confusion_fear_indifference_disgust	origin	african_descent	True
2461	@user twat.	offensive	direct	anger_disgust	gender	women	True
4334	@user china's wall still standing making sure mongol hordes conquer them. oh wait @url	fearful	indirect	anger_fear_shock_indifference_disgust	origin	individual	True
670	@user i'm even offended anymore jkfsd like jokes literally went typed ching chong unironically	offensive	indirect	indifference_disgust	origin	individual	True
2719	@user ching chong bong lmaooo	abusive_disrespectful	indirect	fear_shock	origin	other	True
1141	@user @user ok faggot.	offensive	indirect	anger_sadness_shock_indifference_disgust	sexual_orientation	gay	True
3624	@user @user @user @user runaway spic. ohhh im sorrry.	offensive_hateful	indirect	shock_disgust	origin	other	True
3012	bullied school probably. fucking twat. @url	offensive	indirect	anger_indifference	gender	women	True
5081	sister literally said james charles faggot.nn...nnwho talking	offensive	indirect	anger_shock	origin	gay	True
4333	course dirty dems favorite feminazi domestic terrorist! anarchist riot would survive without witch. @url	offensive	indirect	anger_fear_indifference_sadness_disgust	gender	other	True
4950	@user @user ching chong music 	offensive_hateful	indirect	anger_confusion_sadness_indifference_disgust	origin	asians	True
3900	@user i'm getting homosexual blind retarded old man also pathet @url	hateful_disrespectful	indirect	sadness_shock	disability	special_needs	True
3889	@user cant ching chong fuck	offensive	indirect	fear_shock_indifference_sadness_disgust	origin	muslims	True
4033	@user @user @user i'll calm stop acting like retard eating turkey sandwiches deal?	offensive_hateful	direct	sadness_disgust	disability	special_needs	True
1886	wealthy would-be immigrants told lie assets intentions  even identity | cbc news @url	offensive	indirect	anger_confusion	origin	special_needs	True
694	call dirty spic shove nail toenail plz @url	offensive	indirect	anger_indifference	origin	indian/hindu	True
2858	ching chong ding dong @url	fearful_abusive_offensive_hateful_normal	indirect	sadness_shock	origin	left_wing_people	True
572	@user @user @user call n**** tell go back country!	offensive	indirect	anger_confusion_shock_indifference_disgust	origin	women	True
1855	memes team 10 conspiracy galactic faggot	offensive	indirect	anger_confusion	other	individual	True
226	think communists despise white people capitalism went full retard less okay @url	offensive	indirect	anger_disgust	other	other	True
4245	@user @user @user miss part terrorist leftist manifesto?	offensive	indirect	confusion_sadness	other	other	True
4867	oh cock stabbing fuck nuts weather twat says there's rain shower outside.	normal	indirect	anger_indifference	gender	individual	False
3105	twat	offensive_normal	indirect	sadness_disgust	other	other	True
3115	@user @user retard?	fearful_offensive_hateful_disrespectful_normal	indirect	indifference_disgust	other	special_needs	True
3161	never let ching chong nails	normal	indirect	anger_fear	origin	individual	False
2431	good morning everyone parents retarded brother nigger	normal	direct	sadness_disgust	disability	special_needs	False
2828	@user canada country old immigrants mixing new immigrants families everywhere try @url	hateful_normal	indirect	anger_sadness_shock_indifference_disgust	other	other	True
3962	@user retarded	offensive	direct	sadness_disgust	disability	special_needs	True
915	@user @user  irony unwashed crltc fans calling anyone soup taker remember @url	offensive_hateful	indirect	anger_indifference	other	other	True
1760	@user crazy people get offended words though. could give zero shits someone called spic @url	offensive	indirect	anger_sadness_shock_indifference_disgust	origin	hispanics	True
703	yeah leave alone faggot!!!!!! @url	hateful	direct	confusion_fear_indifference_sadness_disgust	other	other	True
1787	@user @user @user plz stop singing vaishanav zana bla bla bla mongol warlord genghis khan @url	offensive	indirect	sadness_indifference	origin	other	True
985	u say ching chong looking chinese characters say ur racist u dumb fucking bitch ur racist.	offensive	indirect	shock_indifference	origin	muslims	True
4465	imagine going cemetery visit loved one u see retard taking pictures grave @url	offensive	indirect	anger_confusion_sadness_indifference_disgust	disability	women	True
5287	lmfao.. somebody get negro seat. @url	normal	indirect	anger_sadness	origin	special_needs	False
5620	bantering leicester chopper crash cunt posted  blocked menthe sure sign losernh @url	offensive	indirect	sadness_disgust	gender	women	True
3513	@user @user susan ask?? go back come ok  nand forget buy stream mono	hateful	indirect	sadness_indifference	origin	other	True
1020	yea like 4 generations lmao. practically sidekick broke ass faggot @url	offensive	indirect	fear_disgust	origin	gay	True
5019	@user ...what... negro @url	fearful_abusive_hateful_disrespectful_normal	indirect	confusion_indifference	origin	individual	True
3018	@user @user @user @user @user @user nigga played day retard lmaaa @url	offensive	indirect	anger_confusion_sadness_fear_disgust	origin	special_needs	True
5151	twat probably right #lufc @url	offensive	indirect	indifference_disgust	gender	women	True
1799	people say immigrants need go back country always fucking easy. peoples ca @url	offensive	indirect	indifference_disgust	origin	individual	True
1744	mate hope wellnntranslation;nncunt idea finish online conversation	offensive	indirect	confusion_sadness_shock_indifference_disgust	other	women	True
1705	guys retarded	offensive	indirect	sadness_shock	sexual_orientation	other	True
5459	@user @user @user actually retarded	offensive	indirect	fear_disgust	disability	special_needs	True
5391	#scomo #auspol #truth #truthhurts #refugees #a	offensive	indirect	anger_confusion_shock_indifference_disgust	other	other	True
5113	@user ching chong 100	fearful_abusive_offensive_hateful	indirect	anger_confusion_fear_shock	origin	asians	True
3157	@user people said yes retarded	offensive	indirect	anger_sadness_shock_indifference_disgust	disability	special_needs	True
993	@user bitch ain't even muzzie u afghan terror camel	offensive	direct	anger_disgust	origin	muslims	True
4658	we've played together online twice. know jack shit faggot!	abusive	indirect	anger_sadness	sexual_orientation	individual	True
474	fucking faggot	offensive	direct	anger_disgust	sexual_orientation	women	True
716	@user girl retarded  call thomas edison fuckboy 	offensive	indirect	anger_confusion_sadness_shock_disgust	disability	special_needs	True
751	sister never take feelings seriously get cunt week bitch wanna marry @url	fearful_offensive	indirect	anger_confusion_shock_indifference_disgust	religion	special_needs	True
495	cannot believe i'm sluttyjock wrote sharing teamviewer password. really faggot? haha. pr @url	hateful	indirect	anger_sadness_shock_indifference	sexual_orientation	gay	True
2074	@user @user listen asiactic mongol eastern euro trash wouldnnever say fa @url	hateful	direct	confusion_sadness_shock_indifference_disgust	origin	other	True
820	@user @user @user c'est amusant cette remarque parce que justement les migrants ceux qu'o @url	normal	indirect	anger_disgust	other	women	False
5505	retarded ur gonna get cheese touch	hateful	indirect	confusion_disgust	origin	women	True
722	hate fucjing stupids ass fu king hick town man c nights fu king retarded still canes whole ass goinitxh	abusive_disrespectful	indirect	confusion_disgust	disability	special_needs	True
1731	spic ass make j balvin concert next week imma upset fuck	offensive_normal	indirect	anger_sadness	other	other	True
3249	@user vote. fraud though. copying shithole countries hear about.	abusive_offensive	indirect	anger_sadness	origin	other	True
2787	mongol kid &amp; camel.. loving life!!  @url	disrespectful_normal	indirect	sadness_indifference	origin	special_needs	True
5496	population undocumented immigrants widely thought around 11.3 million. study con @url	normal	indirect	anger_fear_shock_indifference_sadness	origin	special_needs	False
2267	man argued twat wearing scouter. twitter funny like innit?	abusive_hateful	indirect	shock_disgust	other	other	True
53	@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated 	hateful	indirect	anger_shock	origin	immigrants	True
3473	@user spot ....... chris say anything reaction' sutton ... he's quite soup-taker yet g @url	disrespectful_normal	indirect	anger_disgust	other	special_needs	True
4329	@user chinese ching chong carried korean always	hateful	indirect	anger_disgust	origin	hispanics	True
3532	#maga assholes turned america shithole country...	hateful	indirect	anger_disgust	other	other	True
3888	shut fuck faggot @url	offensive	indirect	sadness_indifference	sexual_orientation	individual	True
5481	lobbies childhood ni've called wetback spic many times. @url	hateful	indirect	anger_fear_shock_sadness_disgust	origin	individual	True
2625	sven playing aggro jg like wanted wild retard jungle put blaber	offensive	indirect	anger_sadness	origin	special_needs	True
2226	@user @user @user seem twat waffle @user comparing people sharing @url	offensive	direct	shock_indifference	other	left_wing_people	True
536	@user bet didnt kids call names tell go back country lol @url	offensive	indirect	shock_disgust	origin	other	True
3392	@user nyt went full retard	normal	indirect	anger_disgust	disability	special_needs	False
2231	slaying retarded??? bitches got excuse @url	normal	indirect	confusion_fear_shock_sadness_disgust	other	other	False
4235	wayne said keep mind ima negro open mind gotta screen door	offensive	indirect	confusion_sadness_shock_indifference_disgust	origin	special_needs	True
3284	@user know word created order reclaim power called nigger right? ho @url	offensive	indirect	anger_confusion_sadness_shock_indifference	origin	women	True
3240	@user i'm retarded hf w mean?	abusive_disrespectful	indirect	sadness_shock	disability	special_needs	True
1304	lefty twat would @url	offensive_hateful	indirect	indifference_disgust	other	left_wing_people	True
1432	@user @user @user dont come australian servers ching chong	offensive	direct	confusion_sadness_shock_indifference_disgust	origin	individual	True
442	absolute cunt human @url	offensive	indirect	anger_confusion_sadness_indifference_disgust	other	other	True
3952	@user look cunt @url	offensive	indirect	anger_fear_shock_indifference_sadness	gender	women	True
1753	faggot adxmant	offensive_hateful	indirect	sadness_indifference	sexual_orientation	other	True
5572	go one day without seeing 69 faggot phone?	offensive	indirect	anger_confusion_sadness_indifference_disgust	sexual_orientation	gay	True
2875	@user person would retard.	offensive	indirect	sadness_disgust	disability	special_needs	True
3865	remember time trump referred haiti african nations shithole countries? #itmfa	fearful_normal	indirect	anger_fear_indifference_sadness_disgust	other	other	True
976	that's exactly millions refuse travel us. included. i'd rather visit shithole country wher @url	offensive_normal	indirect	fear_shock_indifference_sadness_disgust	origin	other	True
1888	@user @user fuck stupid retard	offensive	indirect	anger_sadness	disability	special_needs	True
4114	reed is... (heavy old negro gospel sigh)	normal	indirect	anger_indifference	origin	indian/hindu	False
4403	let scorpio bag cuz i'm freaking retarded 	normal	indirect	confusion_sadness	sexual_orientation	special_needs	False
2388	attempted refc liveplays fingers died got mindblocked instantly like mongoloid @url	offensive	indirect	anger_confusion_sadness_indifference_fear	disability	special_needs	True
1175	@user parents called loner faggot said	offensive	indirect	anger_disgust	sexual_orientation	gay	True
5269	@user @user coming clip fully loaded wtf faggot @url	offensive_hateful	indirect	anger_confusion_sadness_shock_indifference	sexual_orientation	individual	True
4702	@user we're ching chong brothers	offensive_hateful	indirect	anger_fear	origin	indian/hindu	True
3051	want locs back bad wanna feel like big dyke 	abusive_offensive_hateful_disrespectful_normal	indirect	anger_confusion_fear_indifference_disgust	sexual_orientation	gay	True
1458	one trying bust valenzuela mexico. hmm... could shithole countries?	offensive	indirect	anger_confusion_fear_indifference_disgust	origin	other	True
1338	@user @user @user say limited edition limited fortnitemares mongoloid lmao.	offensive_hateful	indirect	anger_confusion_fear_shock_disgust	gender	special_needs	True
4766	@user bud dodgers fucking retarded	fearful_abusive_offensive_hateful_normal	direct	indifference_disgust	other	other	True
5123	smh women really retarded @url	hateful	indirect	anger_fear_shock_indifference_disgust	disability	women	True
4352	found another liberal retard.  @url	fearful	indirect	anger_sadness	origin	left_wing_people	True
5167	shut chink spic _ go suck mom redneck @url	offensive	indirect	anger_sadness	origin	hispanics	True
4994	@user @user @user @user i'll nigger voting democrat 200 years	offensive	indirect	anger_sadness	origin	asians	True
4223	picture brymelia car please. see faggot floor meme	offensive	indirect	shock_disgust	sexual_orientation	gay	True
300	saddest anime cus he's retarded	fearful_abusive_offensive_disrespectful_normal	indirect	anger_indifference	disability	special_needs	True
1775	y'all can't friends harass call spic go ahead flex twitter boo  @url	offensive	indirect	anger_fear_indifference_sadness_disgust	origin	special_needs	True
4823	@user remember told colored people (euphonysm spics) bank street can't bank @url	offensive	direct	anger_shock	origin	hispanics	True
3921	@user 3 days come arkansas  faggot	offensive	indirect	sadness_fear	sexual_orientation	other	True
3906	i've never seen story overhyped jamal khashoggi bullshit. americans care raghead reporte @url	fearful_abusive_offensive_hateful_normal	indirect	anger_sadness	gender	other	True
59	okay forgive u- u spic ;) @url	offensive	indirect	anger_sadness	origin	other	True
2538	@user @user losing teeth today cunt  address everywhere  	hateful	indirect	shock_disgust	gender	other	True
1931	old outdated say retarded gop mentality paranoid ideas brainwashed citizens americans visce @url	hateful	indirect	anger_disgust	disability	special_needs	True
4922	say balkans homophobic love faggot anthem @url	offensive	indirect	sadness_disgust	sexual_orientation	refugees	True
5314	@user low iq believe everything government says plain retarded believe enemy	offensive	indirect	sadness_shock	disability	women	True
752	@user complete twat are!	fearful	indirect	sadness_disgust	origin	women	True
3247	encourage y'all work yourselves. cause guy retarded bad things anytime wishes.	hateful	indirect	anger_confusion_sadness_shock_disgust	origin	special_needs	True
97	baby knows potus #mongoloid	hateful	indirect	anger_sadness	disability	other	True
1306	game fucked shit shite shitty twat bastard game	abusive_offensive	indirect	confusion_disgust	gender	women	True
1535	cunt fucking laugh? cost 370 fucking joke  @url	offensive	indirect	anger_disgust	gender	women	True
3916	@user @user theres literally proof retard	offensive	indirect	anger_confusion	disability	special_needs	True
5065	@user pourquoi la peur des migrants serait sans raison alors que le nombre de crimes commis par ceux-ci est en augmentation ?	fearful_offensive	indirect	indifference_disgust	origin	other	True
3145	yakuza taught hate old men i'm gonna kick shit next old fucker see he's probably cunt	abusive_hateful	direct	anger_sadness_shock_indifference_disgust	other	other	True
2515	@user that's pretty retarded tweet	offensive	indirect	anger_disgust	disability	special_needs	True
1453	bombings shootings president mental capacity flea... united states clearly real shithole country.	fearful_abusive_offensive_hateful_disrespectful	indirect	anger_confusion_fear_indifference_disgust	origin	other	True
5338	might've convinced mum upgrade nbn fucking finally cunt	normal	indirect	indifference_disgust	other	individual	False
794	bag shit republican cohort office country remain shithole! #vote @url	offensive	indirect	anger_indifference	other	other	True
3489	@user says homo orders chilli chicken wraps goes costa. thats gay get faggot	offensive_hateful	direct	anger_sadness_shock_indifference_disgust	sexual_orientation	other	True
3243	@user @user ='shithole x countriesn= rapists bad hombresn='sleepy eyed( jewish) opponentsn= @url	offensive	indirect	fear_disgust	origin	immigrants	True
944	@user pub ya boring cunt! lighten mate	offensive	indirect	anger_sadness	gender	women	True
3870	eating fat faggot treat hot cum	offensive	indirect	anger_confusion_sadness_shock_indifference	sexual_orientation	individual	True
2639	@user @user trump jr ends jail hunted instead defenseless animals africa.	hateful	indirect	shock_disgust	other	other	True
681	@user called asked someone speaks english cause like spics answer phone called wetback	offensive	indirect	anger_sadness	origin	other	True
3678	sort thing happens shithole countries no? @url	offensive	indirect	anger_sadness	origin	special_needs	True
4034	oopsie: #caravan mass exodus #shithole countriesnn@url	normal	indirect	anger_sadness	origin	refugees	False
2214	@user ah weak northern twat. yep would make sense american.nhave nice evening little'un	fearful_abusive_offensive_disrespectful_normal	indirect	confusion_fear_shock_sadness_disgust	gender	women	True
2218	@user @user faggot..	abusive_offensive	direct	confusion_indifference	sexual_orientation	individual	True
5009	honored part delegation fabulous workshop @user share story incre @url	offensive	indirect	confusion_indifference	other	other	True
1160	@user baseball analist ??? fuck retard !!	abusive_offensive	indirect	shock_disgust	disability	special_needs	True
1150	#swedish feminist (they retarded dangerous)nnin 2017 7200 rapes reported police @url	offensive	indirect	sadness_shock	origin	special_needs	True
1414	@user never go full retard moron. guy hated trump.	offensive	indirect	anger_confusion_fear_shock_disgust	disability	special_needs	True
2021	i'm boutta go shit &amp; say hate puerto rican's. sorry guys let get check i'll turn spic afterwa @url	offensive	indirect	confusion_indifference	origin	individual	True
2493	martha mcsally win election i'm gonna assume y'all retarded i'm moving states.	offensive	indirect	sadness_disgust	disability	special_needs	True
483	mom like ching chong bing bong we're eating bird dinner	offensive	indirect	anger_confusion_fear_shock_indifference	origin	other	True
4140	@user @user europe enough illegal immigrants. need sarah palin too. sorry.	offensive_normal	indirect	anger_confusion_sadness_indifference	origin	immigrants	True
4254	@user kindergarten too. kids ran said ching chong made slanty eyes foolish @url	offensive	indirect	confusion_fear_shock_indifference_disgust	origin	muslims	True
290	last night bar cunt pulled purge knife slight tug war @url	offensive	indirect	sadness_disgust	gender	women	True
5120	@user *feminazi sorry know feminists crazy	normal	indirect	anger_fear_shock_indifference_disgust	gender	women	False
5051	@user he's even fucking funny mcing subpar i'd rather listen plunger toilet tbqh bland twat	hateful_disrespectful	indirect	indifference_disgust	other	women	True
1035	@user @user @user shame england. discriminate caribbean black immigrants.	offensive	indirect	confusion_sadness	origin	other	True
1541	@user @user @user @user @user @user @user im feminazi. @url	offensive	indirect	sadness_indifference	gender	women	True
4705	@user *inserts nigger meme*	hateful_normal	indirect	anger_fear	origin	refugees	True
4342	psst hey..... look now... children refugees asylum seekers still 'gulags' right ;) @url	offensive	indirect	anger_sadness_shock_indifference_disgust	origin	refugees	True
4118	desh wasionsonia gandhi ne aapke 1 lakh karod anil ji ko de diye.nnsounds retarded right u pidi's? that's ur b @url	normal	indirect	sadness_indifference	disability	special_needs	False
5054	@user cunt @url	hateful	direct	fear_shock	gender	women	True
3337	@user retarded laughed	offensive	indirect	anger_shock	disability	special_needs	True
4594	anytime anyone says fag faggot casually ask 6th grade going. like really still calling people 2018 lmao	fearful_offensive_hateful_disrespectful_normal	indirect	shock_disgust	sexual_orientation	other	True
862	ngl never laughed hard random ching chong video depicting unfortunate events. wait it. @url	normal	indirect	anger_fear_indifference_sadness_disgust	other	other	False
318	@user trump would press win argument shithole countries. i'm sure adults le @url	offensive	indirect	confusion_fear_indifference_sadness_disgust	origin	other	True
1335	@user worded fine weird cunt	offensive_disrespectful	indirect	sadness_disgust	gender	women	True
4248	@user lmfaooooo dawg u retarded	normal	indirect	confusion_indifference	disability	other	False
858	believe obligation stand immigrants state. -@user #ilgovforum	normal	indirect	sadness_indifference	origin	other	False
3156	chuck person: eccojam a1 @url #opn #toto @url venue play africa toto @url	fearful_offensive_hateful_disrespectful_normal	indirect	confusion_fear_shock_indifference_sadness	other	other	True
1522	matt trap faggot #ps4sharenn@url @url	fearful_offensive_hateful_disrespectful_normal	indirect	confusion_sadness	sexual_orientation	other	True
4453	first all:nhip-hop mama spic n spannmet one summernand begannnthat first line... that's problemati @url	normal	indirect	confusion_sadness	origin	other	False
1597	@user call illegal aliens voting !	offensive_disrespectful	indirect	fear_sadness	origin	immigrants	True
4883	@user @user saying ching chong ping ling racist mocking welsh fine get writing	offensive_normal	indirect	confusion_indifference	origin	asians	True
5451	@user fuck spic?	offensive	indirect	anger_shock	origin	individual	True
5440	@user horrible little cunt!! sorry word needed. hope gets banned life.	offensive	indirect	anger_sadness	gender	women	True
3960	@user ching chong?	offensive	indirect	anger_sadness	origin	hispanics	True
4095	people take hella xans acid think they're open minded nah fam u retarded	offensive	indirect	anger_sadness	disability	special_needs	True
1657	leaders behave like stupid kids yet wonder country shithole &amp; blame white people it. @url	offensive	indirect	sadness_disgust	origin	other	True
4952	think might retarded	fearful_abusive_offensive_disrespectful	indirect	indifference_disgust	disability	special_needs	True
3233	@user see type nigger hmph	offensive	indirect	anger_sadness_shock_indifference_disgust	origin	individual	True
108	buy @user @user @user @user @user @user regularly alternatives @url	normal	indirect	indifference_disgust	other	women	False
3736	blunt cunt rhyme reason bitch	fearful_abusive_offensive_hateful_disrespectful	indirect	anger_fear_shock_indifference_disgust	gender	women	True
3271	wonder i'll ever stop mongy cunt	offensive_hateful	indirect	shock_disgust	gender	women	True
4776	lol gone full retard take much. fellow hollywierdos. @url	offensive	indirect	anger_indifference	other	other	True
2714	@user dont enough gook ching chong badly	normal	indirect	anger_disgust	origin	special_needs	False
1865	happens white person checks calls spic .. like turn to?? @url	normal	indirect	confusion_fear_shock_indifference_sadness	other	other	False
2360	@user omg twat would shut one day...	offensive	indirect	anger_fear_indifference_sadness_disgust	gender	women	True
5282	ugly plz kys faggot _  @url	normal	indirect	anger_sadness	sexual_orientation	individual	False
3543	@user cunt #snowflake	offensive	direct	anger_fear_shock_indifference_disgust	gender	women	True
741	@user another eu country becomes muslim migrant shithole	offensive	indirect	sadness_shock	religion	muslims	True
5431	mexican lookin' ass mongoloid #ass #bot	offensive_hateful	direct	anger_confusion_shock_indifference_disgust	origin	other	True
2342	@user woah i'm smiling like twat rn thank	offensive	indirect	anger_disgust	gender	women	True
1608	claiming handball james milner mongoloid	offensive	indirect	confusion_indifference	disability	special_needs	True
1276	know meaning word  respect country turned shithole @url	offensive	indirect	sadness_disgust	origin	other	True
135	1/1024th middle eastern leftist they'd calling largest terrorist attempt since 9/11.nnbut @url	hateful	indirect	anger_confusion_fear_shock_sadness	origin	other	True
4936	bitch straight slow bought multiple bottles faggot ass thinks malibu drink choice @url	fearful_abusive_offensive_hateful_disrespectful	indirect	anger_confusion_sadness_indifference_disgust	sexual_orientation	left_wing_people	True
5044	@user can't serious! daddy's fault twat. living lala land. make sick. #fucktrumps	hateful	indirect	fear_disgust	gender	women	True
1594	@user yup sound quality retarded. bass great bass much. po @url	abusive_offensive	indirect	confusion_fear_indifference_sadness_disgust	disability	special_needs	True
3228	panthers suck spic ass	offensive	indirect	sadness_indifference	origin	individual	True
5238	27th retard asylum day. 28th gods jet day mix hopefuls since long crossed finish line -20 @url	normal	indirect	sadness_shock	other	special_needs	False
1942	@user true. christians may retarded cousins still family nevertheless.	fearful_abusive_offensive_hateful_disrespectful	indirect	anger_fear_shock_sadness_disgust	religion	special_needs	True
1735	@user lmfaoooo bro faggot losers thing minny miracle	offensive	indirect	shock_disgust	sexual_orientation	other	True
1260	@user @user realize hate comes #shithole gives idiots fuel. yo @url	offensive	indirect	indifference_disgust	origin	special_needs	True
3202	every american person undocumented immigrants get free hell going gover @url	offensive	indirect	anger_sadness_shock_indifference_disgust	origin	other	True
2327	@user devon one spergy spergs. faggot threaten dox 14 year old kid bec @url	offensive	indirect	anger_fear_indifference_sadness_disgust	sexual_orientation	indian/hindu	True
1117	@user avi fucking gay pls take u retard	offensive	direct	sadness_disgust	gender	special_needs	True
4617	@user nigger need house @url	abusive_offensive_hateful_disrespectful_normal	indirect	shock_indifference	origin	special_needs	True
5565	shutup nigger @url	hateful	indirect	anger_disgust	origin	other	True
